,Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
28,Botswana,237.52222450000002,246.6840088,256.71205249999997,265.0096909,275.6701492,283.7750518,293.3059905,301.6646926,323.5715454,361.0907543,409.659702,499.0292165,610.1757486,715.5730996,751.6763231000001,785.8981006,837.1544895,901.8601470000001,991.4533823999999,1069.781058,1153.968083,1213.88156,1314.693598,1437.677432,1509.20752,1564.3079970000001,1638.161391,1775.485706,2055.763766,2254.251209,2335.83437,2437.414831,2437.701909,2416.589463,2438.874824,2483.293334,2559.7176719999998,2757.478268,2986.0091079999997,3078.1016809999996,3204.115483,3268.358809,3516.207918,3691.8827990000004,3865.8616380000003,3880.266895,4025.39536,4160.662597,4223.234151,3965.1889659999997,4189.686702,4377.555740999999
29,Brazil,1447.843809,1549.414547,1581.625423,1548.1347150000001,1555.615761,1558.148565,1578.920249,1613.136923,1751.7155239999997,1874.410695,1988.9215239999999,2160.353035,2363.511202,2630.91785,2802.016266,2879.313472,3087.582868,3154.7205519999998,3181.061433,3317.535959,3536.0458700000004,3302.639357,3245.573152,3064.153633,3154.965632,3333.999635,3527.761242,3584.0740159999996,3513.9994869999996,3564.6361890000003,3352.965403,3347.811473,3279.686396,3380.128392,3506.544107,3606.005917,3627.626996,3693.2758200000003,3639.1816729999996,3594.8698200000003,3696.146772,3692.8401770000005,3739.919389,3733.9924189999997,3899.255355,3976.619168,4090.555803,4297.823854,4478.809189,4424.758692,4716.614125,4803.398244
33,Burkina Faso,122.20783700000001,125.2266781,130.8849269,127.2294692,128.0496273,130.64000259999997,129.0297617,137.84095630000002,139.3893316,139.47578159999998,136.9204136,136.1258478,136.49920680000002,134.3381165,142.465397,143.6351636,152.52330869999997,149.7079159,153.0765216,155.037476,152.61016669999998,155.3058983,166.0239938,162.4890534,155.6079769,164.58767230000004,173.1336221,168.2577106,173.36239740000002,172.4278113,166.8412774,177.11026809999998,172.745855,173.89084269999998,171.3942466,176.2585051,190.33202260000002,196.8145029,205.38979430000003,214.4962792,212.3753864,220.14794069999996,223.99523219999998,235.14602319999997,239.0119506,252.21471929999998,261.4805054,263.01492709999997,270.1248597,269.9706467,282.6969373,285.8030263
34,Burundi,116.0098612,98.311239,105.37297120000001,107.8375504,112.58148999999999,114.9206456,117.9242338,131.5715697,128.6699887,124.65000690000001,149.15308000000002,151.6801577,140.88225490000002,149.5418861,147.1445375,146.3148368,155.3174989,169.6562102,164.1488202,162.5554908,159.56320259999998,173.6195409,166.386831,166.9876384,161.81153909999998,175.0783178,175.0800362,179.0586489,182.5993009,180.11128440000002,181.9453709,186.95484319999997,185.2494132,170.8145217,161.983591,147.44836980000002,134.4704068,131.4495757,136.7637062,134.08651709999998,131.0463341,131.16202959999998,133.7748047,128.6077932,130.9790183,128.2961159,131.1716587,133.286878,135.862446,136.6612801,138.2482379,140.8125043
36,Cameroon,469.2004319,464.75324720000003,468.52385669999995,475.28233439999997,481.0087671,479.45590020000003,489.82997350000005,425.96217120000006,441.9764664,452.14527460000005,454.34434810000005,458.0784442,458.0538316000001,469.7204383,505.8821893,546.8745512,501.78142460000004,553.7315707,655.2676465,674.0747579,641.4318341,729.4355952999999,762.1234023,791.6323342999999,826.8077331000001,867.9212259,899.8275579,854.8123204,764.9579675,729.3669957999999,665.4106421,622.2354313999999,586.4431124,552.4920757,524.6822672000001,528.3640454,541.3029119,555.517306,570.0967274000001,581.6360839,592.3720003,605.161077,615.2922428999999,625.7819278,634.5093706,634.7228137999999,640.7628162999999,647.9445442000001,650.0360972,648.4856617,653.0286932,665.7982327999999
37,Canada,9374.882816,9479.824031999999,9967.365638,10290.362,10774.65331,11283.606109999999,11804.66776,11932.165009999999,12362.93157,12837.46788,12986.312409999999,13320.194959999999,13823.29238,14537.589530000001,14806.312590000001,14793.714740000001,15358.40595,15703.903390000001,16161.76834,16610.16721,16751.338780000002,17124.39055,16435.465509999998,16713.69949,17516.239990000002,18183.733519999998,18437.71141,18971.40746,19659.67026,19817.99342,19561.87934,18893.804969999997,18826.65615,19057.23091,19781.71278,20169.538969999998,20276.45211,20911.11206,21580.31775,22586.44127,23559.50369,23738.89538,24214.92928,24425.87539,24936.82539,25437.65134,25943.73602,26229.74308,26101.764069999997,25069.86915,25575.21698,25933.28833
40,Central African Republic,355.8227575,367.1653474,347.3010458,338.5146939,338.9837336,335.4894692,330.82318019999997,339.1045646,336.6768872,353.1305226,354.1439659,351.2215257,344.5742119,344.4342887,359.1182027,353.17713849999996,364.3967639,369.8758014,365.62249130000004,347.7575978,323.3966171,309.4026908,323.40401560000004,288.28195869999996,306.6463819,310.338116,313.84129269999994,291.89007050000004,290.7425203,290.21256850000003,277.5680849,269.3737568,245.72741269999997,240.249786,245.6903838,257.0281895,241.0434361,248.1671687,254.31431580000003,258.1975432,247.02818440000001,244.19194559999997,238.7862042,218.3631403,217.07552760000002,218.6561387,223.09745279999999,227.270618,227.60298959999997,227.1749071,229.5813971,232.62325299999998
41,Chad,253.9441747,252.09369390000003,259.9471639,250.30505899999997,238.81614810000002,235.20168030000002,226.17652280000001,223.26321119999997,217.6832943,227.7435682,226.86245899999997,216.6275841,213.86118280000002,191.2121433,196.012722,208.9584178,210.73174730000002,211.18476569999996,206.1136326,158.7065245,145.9974612,144.2875656,148.52370380000002,167.6670557,166.72075619999998,197.5315344,183.9986147,174.1621285,194.87451030000003,198.03532009999998,183.94412169999998,193.63506669999998,202.9054101,165.9573803,177.3187634,174.0664733,172.47503830000002,176.61103380000003,182.96235330000002,175.83318119999998,168.44999769999998,181.56048810000001,189.99011389999998,210.27628309999997,271.4740773,308.4009003,299.8800932,292.14346489999997,283.27502749999996,272.62550269999997,300.1061535,301.4017086
43,Chile,1841.080148,1867.609086,1915.332698,1982.2304120000001,1986.327014,1948.8318379999998,2096.9231489999997,2128.0540260000002,2163.994925,2196.266535,2201.351475,2356.71427,2296.669104,2146.52576,2164.774047,1889.540331,1925.67926,2064.235739,2188.198883,2345.43174,2500.267727,2579.571319,2277.3884359999997,2156.144227,2290.183269,2412.896975,2505.825152,2626.6290120000003,2771.190084,3011.177964,3067.65058,3252.58105,3585.4357579999996,3766.798632,3912.849555,4258.237391,4504.721321,4734.56415,4822.819463,4984.1018,5144.5892539999995,5254.015345000001,5306.721216,5455.9267469999995,5723.6901450000005,5979.068028,6190.109402,6410.806732,6581.357952,6451.631126,6781.696484,7122.938458
44,China,105.4589882,77.66230912,72.32492731,77.86736518,88.13005164,100.1375243,107.80508400000001,99.08012306,92.5691207,105.28850800000001,122.29015459999998,127.30503159999999,128.9349799,135.98015800000002,136.2632825,145.5248126,140.9977374,149.66006819999998,164.94815419999998,175.1324228,186.4396607,193.638156,208.1708635,227.5496401,258.7202307,289.6759682,310.51434700000004,341.0212935,373.49450079999997,382.8921553,391.65295289999995,421.8891748,475.92886969999995,536.3572647,599.8022804999999,657.9926002000001,716.2451166000001,774.884634,827.348598,882.5523218000001,949.1780620999999,1020.519994,1105.952557,1208.993961,1323.2199289999999,1464.1076269999999,1640.861518,1864.102702,2032.61498,2208.403948,2426.332466,2639.54156
